"Bird1","Bird2","Comm1","Comm2","SameCommunity","Season"
"PLS","SWT",6,11,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","SWT",7,11,FALSE,"Spring 2026 Nesting Period_Communities"
"RGT","SWT",8,11,FALSE,"Spring 2026 Nesting Period_Communities"
"ROO","SWT",9,11,FALSE,"Spring 2026 Nesting Period_Communities"
"RPP","SWT",5,11,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","SWT",10,11,FALSE,"Spring 2026 Nesting Period_Communities"
"SDO","SWT",11,11,TRUE,"Spring 2026 Nesting Period_Communities"
"SGB","SWT",8,11,FALSE,"Spring 2026 Nesting Period_Communities"
"STT","SWT",8,11,FALSE,"Spring 2026 Nesting Period_Communities"
"SWB","SWT",7,11,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","SYO",1,4,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","SYO",2,4,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","SYO",1,4,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","SYO",3,4,FALSE,"Spring 2026 Nesting Period_Communities"
"GNG","SYO",4,4,TRUE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","SYO",5,4,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","SYO",4,4,TRUE,"Spring 2026 Nesting Period_Communities"
"PLS","SYO",6,4,FALSE,"Spring 2026 Nesting Period_Communities"
"RBP","SYO",7,4,FALSE,"Spring 2026 Nesting Period_Communities"
"RGT","SYO",8,4,FALSE,"Spring 2026 Nesting Period_Communities"
"ROO","SYO",9,4,FALSE,"Spring 2026 Nesting Period_Communities"
"RPP","SYO",5,4,FALSE,"Spring 2026 Nesting Period_Communities"
"RTT","SYO",10,4,FALSE,"Spring 2026 Nesting Period_Communities"
"SDO","SYO",11,4,FALSE,"Spring 2026 Nesting Period_Communities"
"SGB","SYO",8,4,FALSE,"Spring 2026 Nesting Period_Communities"
"STT","SYO",8,4,FALSE,"Spring 2026 Nesting Period_Communities"
"SWB","SYO",7,4,FALSE,"Spring 2026 Nesting Period_Communities"
"SWT","SYO",11,4,FALSE,"Spring 2026 Nesting Period_Communities"
"CRY","WDB",1,3,FALSE,"Spring 2026 Nesting Period_Communities"
"GBO (was GPT)","WDB",2,3,FALSE,"Spring 2026 Nesting Period_Communities"
"GDN (was GDY)","WDB",1,3,FALSE,"Spring 2026 Nesting Period_Communities"
"GDO","WDB",3,3,TRUE,"Spring 2026 Nesting Period_Communities"
"GNG","WDB",4,3,FALSE,"Spring 2026 Nesting Period_Communities"
"PBP (was PBB)","WDB",5,3,FALSE,"Spring 2026 Nesting Period_Communities"
"PDN","WDB",4,3,FALSE,"Spring 2026 Nesting Period_Communities"
