,Year,Data Needed (see orange cell),Blood in Hand (ref. priority extraction sheet for location of sample) ,,Metal  # (highlighted yellow if missing data on this bird),Color Combo,Sex,Date,"Status (New,Previous year, It's Alive!!)",Location: Feeder/MistNet/NB,"Age (ASY,AHY,HY(Juv),Nestling)","Color crest (3blk,2drk grey,1light grey)","Color proximal lower mandible (3blk,2drk grey,1light grey)",Blood Taken,Feathers Taken,Mass (g),Tarsus (mm),Wing (mm),RFID #,Tarsus/wing  collected by,IA nestbox of origin,Notes,Other Notes,Recapture date,Recapture location,
,2019,,Yes,,244102084,SPO,,06/14/19,,NB13,Nestling,,,Yes,,16.3*,not taken,,01103F54B0,,,"Very aggressive in attempts to get away; bleeding attempts on both wings, successful on left wing",,,,
,2019,,Yes,,244102081,SPR,,06/14/19,,NB13,Nestling,,,Yes,,17.5*,not taken,,01103FBEC7,,,Blood taken from left wing,,,,
,2019,,Yes,,244102080,SPT,,06/14/19,,NB13,Nestling,,,Yes,,17.7*,not taken,,01103F8A70,,,Very vocal; blood taken from left wing; bled a lot,,,,
,2019,,Yes,,244102079,SPW,,06/14/19,,NB13,Nestling,,,Yes,,17.7*,not taken,,01103FB1B2,,,"Very squirmy and responsive; bleeding attempts on both wings, successful on left wing; constant chattering from titmice nearby; occasional small chatters came from within the nestbox","*nestlings were older than most others, so weight measurements might not compare well",,,
,2019,,yes,,244102082 SPR,SPY,,06/14/19,,NB13,Nestling,,,Yes,,18.2*,not taken,,01103F8D90,,,Very squirmy; blood taken from right wing,,,,
,2019,,Yes,,244102085,SOB,,06/21/19,,NB54,Nestling,,,Yes,,18.9,not taken,,01103FD26A,,,"vocal, squirmy, & bled a lot from left wing",,,,
,2019,,Yes,,244102088,STW,,06/21/19,,NB54,Nestling,,,Yes,,17.9,not taken,,01103F5F6B,,,Squirmy,,,,
,2019,,Yes,,244102087,STY,,06/21/19,,NB54,Nestling,,,Yes,,17.1,not taken,,01103F3C44,,,"Blood attempts on both, successful on right. squirmy;  *Accidental duplicate band combo of a bird caught and banded last year by the pond",Recaught on 3/6/21 @ F4.,,,
,2019,,Yes,,244102086,SWR,,06/21/19,,NB54,Nestling,,,Yes,,17.1,not taken,,01103FA7E4,,,"quiet, squirmy; generally more calm",,,,
,2019,,*No,,258115491,YOY,,06/25/19,,NB54,Adult (second year)*,,,No*,,-,-,,011016CDA2,,,"Same parent as nest 14 was observed at nest 54; was not caught or bled on 6/25/19, but was observed as being a parent to this nest",,,,
,2019,,Yes,,244102099,YLL,,07/08/19,,Feeder 1,Juv,,,Yes ,,20.0,20.8,,*0110174478*,,,,Caught in F2 on 10/5/19,,,
,2019,,Yes,,244102100,YSR,,07/08/19,,Feeder 1,Juv,,,Yes ,,19.1,20.5,,01103F7971,,,"Bleeder; had to try both wings, R wing bled",Caught in F1 trap again on 7/12/19; in F1 trap on 7/16/19,,,
,2019,,Yes,,244102089,YSW ,,07/08/19,,Feeder 1,Adult,,,Yes ,,18.6,21.0,,0110170F18,,,"Vocal, bleeder; most likely female",Caught in F1 trap again on 7/16/19; in F1 on 9/14/19; in F1 on 2/15/20,,,
,2019,,Yes,,244102090,YWY,,07/08/19,,Feeder 1,Juv,,,Yes ,,18.1,20.0,,01103F8786,,,"No crest, possibly scraped off in trap. Re-captured in Feeder 4",,,,
,2019,,Yes,,244102092,SLR,,07/09/19,,Feeder 2,Adult,,,Yes ,,19.6,not taken,,01103F3D11,,,"Very squirmy, took a while to process.",Caught in F3 trap again on 7/15/19; in F3 on 7/18/19; in F3 on 7/23/19; in F3 on 9/14/19; in F2 on 10/5/19,,,
,2019,,Yes,,244102091,SLY,,07/09/19,,Feeder 2,Juv,,,Yes ,,17.8,not taken,,01103F3F72,,,Biter,,,,
,2019,,Yes,,244102093,SWO,,07/09/19,,Feeder 2,Juv,,,Yes ,,17.6,not taken,,01103F6CF8,,,"Large crest. Little bird, small leg. Briefly escaped into suburban and was lightly stunned by window. Unable to get much blood. ",,,,
,2019,,Yes,,244102098,YOB,,07/09/19,,Feeder 3,Adult,,,Yes ,,18.1,not taken,,01101708B2,,,"Lots of adult coloration, a bit small. Huge black crest. Bleeder. Tarsus measurements were not taken on 7/9/19 due to problems with the calipers; seen on 7/15/19 in F1 territory",Caught in F3 trap again on 7/23/19; caught in F2 trap on 9/22/19,,,
,2019,,Yes,,244102094,STT,,07/10/19,,Feeder 10**,Juv,,,Yes ,,17.1,not taken,,01103F9EE3,,,Very vocal & squirmy; bit a lot; parent was chattering nearby while in trap,"**Feeder 10 note: at 08:25 an unbanded adult flew into the trap, then flew right back out ~ 10 seconds later",,,
,2019,,Yes,,244102095,SRO,,07/11/19,,Feeder 12,Juv,,,Yes ,,18.0,not taken,,01103F6317,,,"Was in feeder with MY GG; at least 2 from same group in tree nearby, chatter",,,,
,2019,,*No,,244102096,SYS,,07/11/19,,Feeder 10,Juv,,,No,,18.6,not taken,,01103F55B6,,,"Escaped, unable to take blood",at 09:42: one other escaped before it could be banded or bled; 2 others escaped in trap (out of entry passage and out main door),,,
,2019,,Yes,,244102097,SLB,,07/19/19,,Feeder 1,Juv,,,Yes ,,17.8,20.8,,01103F8E31,,,"Caught with another juv; the other juv had an injured left eye, and escaped when trying to take its weight",,,,
,2019,,Yes,,244160901,SOW,,07/22/19,,Feeder 12,Juv,,,Yes ,,17.3,not taken,,01103F3CC5,,,Hard to bleed; slight clotting,,,,
,2019,,Yes,,244160902,SGY,,07/23/19,,Feeder 3,Juv,,,Yes ,,18.2,20.4,,01103FBA6D,,,"Very vocal and aggressive; didn't bleed much, tried on both wings, successful on R wing",Caught in F3 trap again on 9/14/19; in F3 on 10/5/19; in F3 on 10/19/19; in F2 on 1/25/20,,,
